country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category
italy,1,With_Spouse,1.0,1.0,Visiting_Friends_and_Relatives,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,0,5,1,3
canada,4,With_Other_Friends/Relatives,2.0,2.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,0,1,1,0,8,2,0,5
united_states_of_america,3,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,0,0,1,0,6,5,1,1
germany,1,With_Other_Friends/Relatives,2.0,1.0,Visiting_Friends_and_Relatives,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,20,5,1,0
germany,4,With_Other_Friends/Relatives,4.0,8.0,Meetings_and_Conference,Beach_Tourism,Friends_relatives,Package_Tour,0,1,1,1,0,0,0,12,3,0,2
united_kingdom,4,Alone,0.0,1.0,Meetings_and_Conference,Beach_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,5,0,0,5
china,3,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,0,0,0,5,5,1,0
south_africa,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Newspaper_magazines_brochures,Package_Tour,0,1,1,1,1,0,0,17,0,1,1
united_states_of_america,3,Alone,0.0,1.0,Business,Wildlife_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,7,3,1,0
south_africa,1,With_Spouse,1.0,1.0,Leisure_and_Holidays,Cultural_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,0,0,0,5,1,5
zambia,4,Alone,0.0,1.0,Business,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,4,0,0,4
united_kingdom,3,With_Other_Friends/Relatives,2.0,2.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,0,1,1,0,1,7,6,0,1
zambia,3,Alone,0.0,1.0,Business,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,4,0,0,4
australia,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,11,5,1,1
united_kingdom,1,Alone,0.0,1.0,Business,Bird_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,1,0,0,4
united_states_of_america,3,Alone,0.0,1.0,Leisure_and_Holidays,Conference_Tourism,Friends_relatives,Independent,0,0,0,0,0,1,0,6,0,1,5
germany,3,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Package_Tour,0,1,0,0,0,0,0,15,5,1,0
japan,1,Alone,0.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,29,0,1,5
zimbabwe,3,Alone,0.0,1.0,Business,Mountain_Climbing,Friends_relatives,Independent,0,0,0,0,0,0,0,2,0,0,4
uae,3,With_Children,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,12,0,0,2
russia,3,Alone,0.0,1.0,Leisure_and_Holidays,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,60,7,1,5
united_states_of_america,4,Alone,1.0,0.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,10,0,0,0
united_states_of_america,5,With_Spouse,1.0,1.0,Visiting_Friends_and_Relatives,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,77,0,1,5
united_kingdom,1,With_Other_Friends/Relatives,2.0,0.0,Visiting_Friends_and_Relatives,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,2,0,0,5
united_kingdom,3,With_Spouse_and_Children,2.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,0,4,4,1,1
swizerland,4,Alone,1.0,0.0,Visiting_Friends_and_Relatives,Beach_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,27,0,1,5
germany,3,Alone,0.0,1.0,Business,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,0,0,0,1,0,0,5
united_kingdom,3,Alone,1.0,0.0,Visiting_Friends_and_Relatives,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,15,2,1,3
united_states_of_america,5,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,15,0,0,1
kenya,1,Alone,1.0,0.0,Business,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,3,1,0,5
united_states_of_america,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Package_Tour,1,1,1,1,1,1,1,7,0,1,1
zimbabwe,4,Alone,0.0,1.0,Visiting_Friends_and_Relatives,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,5,0,0,3
greece,4,With_Other_Friends/Relatives,0.0,2.0,Volunteering,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,2,0,1,4
united_kingdom,4,With_Spouse_and_Children,2.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,14,0,1,5
poland,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,28,0,1,5
italy,3,With_Spouse_and_Children,2.0,2.0,Leisure_and_Holidays,Wildlife_Tourism,Newspaper_magazines_brochures,Package_Tour,0,1,1,0,1,1,0,10,10,1,1
zambia,4,With_Spouse,1.0,1.0,Business,Business,Newspaper_magazines_brochures,Independent,0,0,0,0,0,0,0,2,0,0,5
austria,4,With_Other_Friends/Relatives,4.0,1.0,Visiting_Friends_and_Relatives,Mountain_Climbing,Friends_relatives,Independent,0,0,0,0,0,0,0,24,0,0,5
south_africa,3,With_Other_Friends/Relatives,1.0,2.0,Leisure_and_Holidays,Bird_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,6,0,0,4
malaysia,3,Alone,0.0,1.0,Meetings_and_Conference,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,4,0,0,4
australia,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,18,0,1,1
france,3,With_Other_Friends/Relatives,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,2,11,1,5
belgium,4,With_Children,1.0,2.0,Leisure_and_Holidays,Conference_Tourism,Newspaper_magazines_brochures,Package_Tour,1,1,1,1,1,1,1,7,4,1,1
malaysia,4,With_Other_Friends/Relatives,1.0,2.0,Business,Wildlife_Tourism,Others,Package_Tour,0,1,1,1,1,0,0,3,15,0,0
czech_republic,3,With_Other_Friends/Relatives,2.0,2.0,Leisure_and_Holidays,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,9,6,1,1
italy,3,With_Other_Friends/Relatives,1.0,1.0,Business,Wildlife_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,1,0,1,4
united_states_of_america,4,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Package_Tour,0,1,1,1,1,1,0,4,0,0,0
germany,3,With_Other_Friends/Relatives,3.0,0.0,Leisure_and_Holidays,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,9,12,0,1
united_states_of_america,5,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,1,0,9,0,1,1
australia,4,With_Children,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,7,5,1,1
united_kingdom,5,Alone,0.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,11,0,1,1
united_kingdom,1,Alone,0.0,1.0,Volunteering,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,0,0,8,0,1,0
united_kingdom,4,Alone,0.0,1.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,0,9,0,1,5
spain,3,None,0.0,1.0,Other,Wildlife_Tourism,Others,Independent,0,0,0,0,0,0,0,10,0,0,5
united_kingdom,3,With_Children,1.0,1.0,Visiting_Friends_and_Relatives,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,20,0,1,3
nigeria,3,Alone,0.0,1.0,Meetings_and_Conference,Mountain_Climbing,Others,Independent,0,0,0,0,0,0,0,20,3,1,5
norway,3,With_Other_Friends/Relatives,3.0,4.0,Meetings_and_Conference,Wildlife_Tourism,Newspaper_magazines_brochures,Independent,0,0,0,0,0,0,0,5,0,1,0
italy,5,With_Other_Friends/Relatives,2.0,5.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,0,1,0,0,0,12,4,1,0
south_africa,3,With_Spouse_and_Children,2.0,2.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,0,1,0,0,0,2,12,1,1
germany,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Beach_Tourism,Friends_relatives,Package_Tour,1,1,0,1,0,0,0,4,10,1,1
canada,3,With_Children,1.0,1.0,Visiting_Friends_and_Relatives,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,6,0,0,3
zambia,3,Alone,0.0,1.0,Business,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,4,0,0,5
kenya,4,With_Other_Friends/Relatives,1.0,8.0,Meetings_and_Conference,Conference_Tourism,Newspaper_magazines_brochures,Independent,0,0,0,0,0,0,0,0,3,0,5
swizerland,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,0,1,0,14,0,1,1
korea,3,Alone,0.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,1,1,1,5,4,1,0
united_states_of_america,3,Alone,0.0,1.0,Leisure_and_Holidays,Cultural_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,0,0,0,10,0,1,0
rwanda,3,None,0.0,1.0,Visiting_Friends_and_Relatives,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,1,0,0,4
india,4,Alone,0.0,1.0,Visiting_Friends_and_Relatives,Beach_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,2,0,1,4
drc,3,Alone,1.0,0.0,Visiting_Friends_and_Relatives,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,3,0,0,4
united_states_of_america,5,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,7,0,1,1
denmark,1,Alone,1.0,0.0,Leisure_and_Holidays,Cultural_Tourism,Friends_relatives,Package_Tour,1,1,1,1,1,0,0,3,5,1,3
south_africa,4,With_Spouse_and_Children,1.0,3.0,Visiting_Friends_and_Relatives,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,10,0,0,4
kenya,3,With_Children,49.0,44.0,Leisure_and_Holidays,Wildlife_Tourism,Others,Independent,0,0,0,0,0,0,0,4,0,1,1
cyprus,3,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Tanzania_Mission_Abroad,Independent,0,0,0,0,0,0,0,8,0,1,5
kenya,4,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Others,Independent,0,0,0,0,0,0,0,3,0,0,4
united_kingdom,4,Alone,0.0,1.0,Business,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,100,0,0,5
italy,3,With_Spouse,1.0,1.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,0,1,0,7,1,0
united_states_of_america,3,With_Other_Friends/Relatives,1.0,3.0,Leisure_and_Holidays,Conference_Tourism,Friends_relatives,Package_Tour,0,1,1,1,1,0,0,7,0,1,0
austria,4,With_Other_Friends/Relatives,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,3,0,1,0
italy,3,With_Spouse,1.0,1.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,10,0,1,0
united_states_of_america,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,7,0,1,5
australia,3,Alone,1.0,0.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,9,0,1,1
france,4,With_Spouse_and_Children,4.0,1.0,Leisure_and_Holidays,Beach_Tourism,Newspaper_magazines_brochures,Package_Tour,1,1,1,1,1,1,1,4,11,1,1
spain,3,Alone,0.0,1.0,Business,Wildlife_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,2,0,1,3
zimbabwe,3,Alone,0.0,1.0,Leisure_and_Holidays,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,2,0,1,3
united_states_of_america,5,With_Children,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,1,4,0,1,1
united_states_of_america,3,With_Spouse,2.0,0.0,Visiting_Friends_and_Relatives,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,9,6,1,0
netherlands,3,None,0.0,1.0,Leisure_and_Holidays,Cultural_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,60,0,1,5
united_states_of_america,1,With_Other_Friends/Relatives,0.0,2.0,Leisure_and_Holidays,Conference_Tourism,Radio_TV_Web,Package_Tour,0,1,1,1,1,1,0,13,0,1,5
germany,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,1,6,5,1,1
italy,4,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,0,1,0,6,0,0,0
south_africa,4,Alone,0.0,1.0,Business,Wildlife_Tourism,Others,Package_Tour,1,1,1,1,0,0,1,4,0,0,0
france,3,Alone,0.0,1.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,1,1,0,13,0,1,0
canada,3,None,1.0,0.0,Volunteering,Cultural_Tourism,Others,Independent,0,0,0,0,0,0,0,13,0,1,4
united_states_of_america,3,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,14,0,0,4
zimbabwe,3,Alone,0.0,1.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,4,0,0,4
kuwait,4,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Package_Tour,0,1,1,1,1,1,0,5,0,1,5
zambia,3,With_Other_Friends/Relatives,2.0,1.0,Business,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,3,0,0,4
rwanda,1,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,0,4,0,0,5
zambia,3,Alone,0.0,1.0,Business,Beach_Tourism,Others,Independent,0,0,0,0,0,0,0,8,0,0,4
united_states_of_america,5,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,1,6,0,1,1
belgium,4,With_Children,0.0,2.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,1,0,7,0,1,0
zambia,3,Alone,0.0,1.0,Business,Mountain_Climbing,Others,Independent,0,0,0,0,0,0,0,3,0,0,4
germany,5,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,1,3,0,0,5
brazil,3,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Newspaper_magazines_brochures,Package_Tour,0,1,1,1,1,1,0,15,0,1,0
united_kingdom,1,With_Other_Friends/Relatives,1.0,2.0,Visiting_Friends_and_Relatives,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,42,0,0,0
germany,4,With_Spouse_and_Children,1.0,3.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,1,6,0,1,5
chile,1,With_Other_Friends/Relatives,5.0,7.0,Leisure_and_Holidays,Cultural_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,1,1,1,11,4,1,0
india,3,None,0.0,1.0,Business,Wildlife_Tourism,Others,Independent,0,0,0,0,0,0,0,4,0,0,5
italy,4,Alone,0.0,1.0,Leisure_and_Holidays,Cultural_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,0,1,0,1,0,12,0,1,5
greece,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Beach_Tourism,Others,Package_Tour,0,0,0,0,0,0,0,0,4,0,1
south_africa,3,With_Spouse,1.0,1.0,Meetings_and_Conference,Wildlife_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,3,0,0,0
south_africa,3,With_Spouse,1.0,1.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,1,0,0,7,1,1
bulgaria,3,Alone,0.0,1.0,Visiting_Friends_and_Relatives,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,3,0,1,4
italy,3,With_Spouse,1.0,1.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,0,0,1,0,7,1,0
united_kingdom,3,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,5,6,1,5
united_kingdom,1,Alone,0.0,1.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,14,4,1,5
united_arab_emirates,3,Alone,0.0,1.0,Leisure_and_Holidays,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,16,0,0,5
france,3,With_Other_Friends/Relatives,2.0,0.0,Leisure_and_Holidays,Conference_Tourism,Radio_TV_Web,Package_Tour,0,1,1,1,0,0,0,10,0,1,5
united_states_of_america,3,With_Other_Friends/Relatives,2.0,5.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,9,0,1,1
israel,4,With_Other_Friends/Relatives,3.0,2.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,0,0,8,0,1,0
germany,4,Alone,1.0,0.0,Meetings_and_Conference,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,3,0,1,5
kenya,3,Alone,1.0,0.0,Visiting_Friends_and_Relatives,Mountain_Climbing,Friends_relatives,Independent,0,0,0,0,0,0,0,5,0,0,4
united_kingdom,3,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,0,1,0,10,0,1,0
united_states_of_america,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,1,11,3,1,1
south_africa,4,Alone,0.0,1.0,Meetings_and_Conference,Conference_Tourism,Newspaper_magazines_brochures,Independent,0,0,0,0,0,0,0,6,0,0,5
united_kingdom,3,Alone,0.0,1.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,1,1,9,0,0,5
italy,3,With_Spouse,1.0,1.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,0,0,0,7,1,0
canada,5,With_Spouse,1.0,1.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,0,4,1,5
united_states_of_america,4,Alone,0.0,1.0,Business,Conference_Tourism,Tanzania_Mission_Abroad,Independent,0,0,0,0,0,0,0,20,0,0,1
united_states_of_america,4,With_Spouse_and_Children,3.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,0,12,0,1,1
france,4,Alone,1.0,0.0,Leisure_and_Holidays,Cultural_Tourism,Radio_TV_Web,Package_Tour,0,1,1,0,0,0,0,0,7,1,5
united_states_of_america,3,Alone,1.0,0.0,Volunteering,Cultural_Tourism,Friends_relatives,Package_Tour,0,1,1,1,1,1,0,10,5,1,0
canada,4,Alone,0.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,11,0,1,0
united_states_of_america,4,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,0,16,0,1,1
south_africa,1,With_Other_Friends/Relatives,1.0,2.0,Leisure_and_Holidays,Beach_Tourism,Friends_relatives,Package_Tour,1,1,1,1,0,0,1,0,4,1,0
new_zealand,4,With_Other_Friends/Relatives,2.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Radio_TV_Web,Package_Tour,1,1,1,1,1,1,0,6,7,1,2
united_kingdom,1,With_Other_Friends/Relatives,3.0,0.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,0,15,0,1,0
poland,3,With_Other_Friends/Relatives,3.0,0.0,Leisure_and_Holidays,Conference_Tourism,Others,Package_Tour,0,1,1,1,1,1,1,9,0,1,1
south_africa,3,With_Spouse,1.0,1.0,Leisure_and_Holidays,Hunting_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,0,1,0,0,0,4,0,1,1
germany,4,Alone,0.0,1.0,Visiting_Friends_and_Relatives,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,2,0,0,5
zimbabwe,1,Alone,0.0,1.0,Leisure_and_Holidays,Hunting_Tourism,Others,Independent,0,0,0,0,0,0,0,2,0,1,4
